"campaign","campaign_repeat","invocation","D","S","R","O_i","B_i","rows_per_worker","bytes_per_worker","mode","variant","S_tile","iterations","timed_repetitions","warmup","worker_count","worker_list","affinity","affinity_error","affinity_succeeded","timed_repetitions_exact","avx2_supported","kernel_used","eviction_bytes","eviction_checksum","elapsed_seconds","mac_total","mac_per_second","checksum"
"main","1","51","512","1","8","768,768,768,768","393216,393216,393216,393216","768,768,768,768","393216,393216,393216,393216","repeat","A","8","1","5","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0036404","62914560","1.72823e+10","225443989"
"main","1","52","512","1","8","768,768,768,768","3145728,3145728,3145728,3145728","768,768,768,768","3145728,3145728,3145728,3145728","repeat","B","8","1","5","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0022635","62914560","2.77953e+10","18446744073264054763"
"main","1","53","512","1","16","768,768,768,768","393216,393216,393216,393216","768,768,768,768","393216,393216,393216,393216","fused","A","8","1","5","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.013317","125829120","9.44876e+09","225443989"
"main","1","54","512","1","16","768,768,768,768","6291456,6291456,6291456,6291456","768,768,768,768","6291456,6291456,6291456,6291456","fused","B","8","1","5","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0141586","125829120","8.88712e+09","18446744073599699090"
"main","1","55","512","1","16","768,768,768,768","393216,393216,393216,393216","768,768,768,768","393216,393216,393216,393216","repeat","A","8","1","5","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0048797","125829120","2.57862e+10","225443989"
"main","1","56","512","1","16","768,768,768,768","6291456,6291456,6291456,6291456","768,768,768,768","6291456,6291456,6291456,6291456","repeat","B","8","1","5","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0048019","125829120","2.6204e+10","18446744073599699090"
"main","1","57","512","2","1","768,768,768,768","393216,393216,393216,393216","768,768,768,768","393216,393216,393216,393216","fused","A","8","1","5","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0014675","15728640","1.0718e+10","678267491"
"main","1","58","512","2","1","768,768,768,768","393216,393216,393216,393216","768,768,768,768","393216,393216,393216,393216","fused","B","8","1","5","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0025625","15728640","6.13801e+09","678267491"
"main","1","59","512","2","1","768,768,768,768","393216,393216,393216,393216","768,768,768,768","393216,393216,393216,393216","repeat","A","8","1","5","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.000853","15728640","1.84392e+10","678267491"
"main","1","60","512","2","1","768,768,768,768","393216,393216,393216,393216","768,768,768,768","393216,393216,393216,393216","repeat","B","8","1","5","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0008662","15728640","1.81582e+10","678267491"
"main","1","61","512","2","2","768,768,768,768","393216,393216,393216,393216","768,768,768,768","393216,393216,393216,393216","fused","A","8","1","5","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0030961","31457280","1.01603e+10","678267491"
"main","1","62","512","2","2","768,768,768,768","786432,786432,786432,786432","768,768,768,768","786432,786432,786432,786432","fused","B","8","1","5","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0025981","31457280","1.21078e+10","544491149"
"main","1","63","512","2","2","768,768,768,768","393216,393216,393216,393216","768,768,768,768","393216,393216,393216,393216","repeat","A","8","1","5","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0015435","31457280","2.03805e+10","678267491"
"main","1","64","512","2","2","768,768,768,768","786432,786432,786432,786432","768,768,768,768","786432,786432,786432,786432","repeat","B","8","1","5","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.001307","31457280","2.40683e+10","544491149"
"main","1","65","512","2","4","768,768,768,768","393216,393216,393216,393216","768,768,768,768","393216,393216,393216,393216","fused","A","8","1","5","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.004794","62914560","1.31236e+10","678267491"
