"campaign","target_kib","S","R","mode","variant","tile","n","mean","median","min","max","population_sd","checksum","checksum_deterministic","checksum_values"
"main","640","2","2","fused","A","","10","54659110000","55373700000","34967100000","69841000000","10763341053.0792","1137017487","True","1137017487"
"main","640","1","2","repeat","B","","10","36404540000","34263650000","28297800000","48833400000","7827097525.16219","622906971","True","622906971"
"main","512","2","4","repeat","B","","10","38610930000","37237450000","31522800000","50589000000","4958477978.9871","531791669","True","531791669"
"main","640","1","1","fused","A","","10","36079740000","36453950000","29692100000","39862200000","3207617248.73776","158409371","True","158409371"
"main","384","4","8","fused","B","","10","98555110000","100441800000","48289600000","135218000000","25785686298.9702","1114216643","True","1114216643"
"main","384","4","16","repeat","A","","10","36095120000","37341950000","14370000000","44894600000","8091475707.65679","1603313223","True","1603313223"
"main","768","4","16","fused","B","","10","99724920000","98728550000","77067600000","126086000000","12043279176.52","18446744069074957738","True","18446744069074957738"
"main","384","4","16","repeat","B","","10","33326470000","33935250000","20513300000","38296900000","4570796357.32112","18446744072667894661","True","18446744072667894661"
"main","768","4","8","fused","A","","10","102265380000","101750600000","73043000000","123521000000","14014996757.3881","3595600930","True","3595600930"
"main","768","4","1","repeat","B","","10","44003970000","44196950000","32191700000","55248800000","8676873448.20126","3595600930","True","3595600930"
"main","768","2","2","fused","A","","10","51094000000","52584200000","15447000000","68190800000","12953138457.9954","1144888752","True","1144888752"
"main","512","16","4","repeat","A","","10","40001600000","39795650000","29367500000","50009400000","5561917049.90285","18446744061803098170","True","18446744061803098170"
"main","640","1","8","repeat","B","","10","35858810000","34472450000","27022100000","45063700000","5798090006.62287","18446744072702920639","True","18446744072702920639"
"main","640","4","1","fused","B","","10","97104780000","95997950000","77665100000","142083000000","16415406150.1262","2920336307","True","2920336307"
"main","640","2","4","repeat","A","","10","41006240000","38526650000","36238200000","47847400000","4520581400.92621","1137017487","True","1137017487"
"main","512","8","16","fused","B","","10","101125670000","100224400000","79843400000","126585000000","13551256291.8757","18446744070745722834","True","18446744070745722834"
"main","768","1","8","repeat","A","","10","35008050000","33783800000","28941200000","51001000000","5797315725.96318","18446744073656903484","True","18446744073656903484"
"main","640","8","4","fused","A","","10","96264010000","102670850000","30188700000","114481000000","23301571174.9852","4048733537","True","4048733537"
"main","768","16","8","repeat","A","","10","39163790000","40774000000","30438800000","44160900000","4118094111.95276","18446744072594158984","True","18446744072594158984"
"main","768","2","8","repeat","B","","10","35774240000","34149500000","12398800000","49078900000","9887303996.25702","18446744073683068726","True","18446744073683068726"
"main","512","8","1","fused","B","","10","104636280000","105850500000","75624100000","132810000000","13323351336.3418","18446744072342836291","True","18446744072342836291"
"main","512","1","16","repeat","B","","10","32694890000","33342800000","25091200000","37940300000","4513514889.40715","18446744073530809057","True","18446744073530809057"
"main","384","1","8","fused","B","","10","39540970000","35038450000","22418900000","50876000000","9475469602.2994","18446744073191227399","True","18446744073191227399"
"main","512","4","8","fused","A","","10","91609720000","92534450000","70283000000","124098000000","13625650467.9813","1471357870","True","1471357870"
"main","768","8","2","repeat","B","","10","38762590000","39474350000","31810900000","51742900000","5974931178.75846","2441539021","True","2441539021"
"main","768","4","2","repeat","B","","10","47399950000","50799750000","12874200000","54520200000","11937540022.9067","18446744068979287379","True","18446744068979287379"
"main","384","1","16","fused","A","","10","34752550000","33155450000","29234100000","51069600000","5883288947.05164","169863235","True","169863235"
"main","384","16","4","fused","B","","10","99661290000","103536000000","35608800000","129978000000","24203375844.3094","977067540","True","977067540"
"main","384","16","2","repeat","B","","10","38981280000","40624450000","14634300000","56346700000","11168194050.4094","5428362669","True","5428362669"
"main","512","4","2","fused","B","","10","82927360000","78535850000","72510900000","105833000000","11671145729.636","18446744073165617266","True","18446744073165617266"
"main","384","8","4","repeat","A","","10","43610160000","43668650000","30949300000","52874200000","6993863511.27901","18446744072594251943","True","18446744072594251943"
"main","768","1","4","repeat","B","","10","34921070000","30935800000","26558100000","49156800000","7997056333.55799","18446744073105302100","True","18446744073105302100"
"main","640","16","1","fused","A","","10","114433300000","110396000000","104629000000","137767000000","9562093348.73907","18446744064341133394","True","18446744064341133394"
"main","512","1","2","fused","A","","10","38746730000","36788300000","24840400000","54163700000","10420389885.8008","81541731","True","81541731"
"main","768","1","4","fused","B","","10","41976640000","39397250000","29623400000","54628200000","10273527161.1263","18446744073105302100","True","18446744073105302100"
"main","384","2","8","fused","B","","10","51896600000","51305750000","37453300000","63799800000","7282911772.22407","18446744073440170581","True","18446744073440170581"
"main","512","2","8","repeat","B","","10","33369716000","35942150000","8209260000","46059600000","10132056652.2846","18446744073179169522","True","18446744073179169522"
"main","512","1","1","fused","A","","10","31528460000","29810300000","22525800000","46955500000","6764063649.93707","81541731","True","81541731"
"main","512","4","16","repeat","B","","10","35035990000","36225650000","22182900000","44513900000","5921896318.65503","18446744072407598779","True","18446744072407598779"
"main","640","1","16","repeat","B","","10","28921570000","30151600000","19430800000","36069600000","5289512326.86908","18446744073327863979","True","18446744073327863979"
"main","384","2","4","repeat","B","","10","33523980000","31431200000","10173100000","50031500000","11320078168.2637","18446744073690630151","True","18446744073690630151"
"main","640","1","16","repeat","A","","10","34429120000","35099000000","26720000000","45776200000","4905149760.16023","158409371","True","158409371"
"main","640","8","8","repeat","B","","10","35496380000","36271500000","15625500000","49029100000","10827270157.7822","18446744065691327075","True","18446744065691327075"
"main","384","1","1","repeat","A","","10","33159850000","32500300000","22199900000","49056200000","6642488298.55951","169863235","True","169863235"
"main","512","4","1","fused","B","","10","96058030000","89894350000","80485600000","142150000000","17852903021.8085","1471357870","True","1471357870"
"main","384","16","16","repeat","B","","10","36883690000","37415800000","27562400000","43019200000","4299633715.2018","18446744059826859969","True","18446744059826859969"
"main","512","16","8","fused","A","","10","106099150000","109855500000","31408500000","135110000000","26078224609.8637","18446744061803098170","True","18446744061803098170"
"main","512","1","8","fused","A","","10","40179910000","36429850000","28944300000","54897000000","7849593023.13821","81541731","True","81541731"
"main","384","4","16","fused","B","","10","89916590000","93244550000","43589200000","129333000000","21473981423.0361","18446744072667894661","True","18446744072667894661"
"main","384","2","2","repeat","A","","10","38855730000","39749650000","24209500000","51165600000","9753075703.49477","521725446","True","521725446"
"main","512","1","16","fused","B","","10","29488070000","29117250000","25767000000","37104900000","3082190431.83577","18446744073530809057","True","18446744073530809057"
"main","768","4","1","fused","B","","10","100636060000","93106550000","79531700000","144860000000","19459855230.2015","3595600930","True","3595600930"
"main","512","4","2","fused","A","","10","90464450000","77166650000","54637800000","139912000000","27564207332.7078","1471357870","True","1471357870"
"main","768","2","4","fused","B","","10","50841750000","49689300000","37147200000","68926200000","10406749939.078","601834841","True","601834841"
"main","512","1","8","repeat","A","","10","30848820000","32354100000","4715800000","45109100000","10058408054.9359","81541731","True","81541731"
"main","512","8","8","fused","A","","10","112342300000","109083000000","100476000000","134035000000","10321367613.3543","18446744072342836291","True","18446744072342836291"
"main","512","8","2","fused","A","","10","115857650000","121454500000","86810500000","134144000000","15258457041.9981","18446744072342836291","True","18446744072342836291"
"main","640","4","2","repeat","B","","10","41960560000","40069900000","35671200000","55379500000","4943272863.64004","18446744070066467631","True","18446744070066467631"
"main","640","8","2","repeat","B","","10","40283160000","40267950000","27314400000","55809600000","6976018315.3716","18446744071634675036","True","18446744071634675036"
"main","768","8","4","fused","B","","10","105572170000","107027000000","84625700000","115029000000","7780802461.19255","5514443761","True","5514443761"
