probe,kernel_requested,kernel_used,avx2_supported,fma_supported,target_kib,actual_weight_bytes_per_block,allocated_weight_bytes,m,K,depth,variant,iterations,repetitions,warmup,logical_cpu_index,processor_group,group_processor_index,affinity_succeeded,affinity_error,eviction_bytes,elapsed_seconds,mac_count,mac_per_second,checksum
scalar_q4,avx2,avx2,true,true,1280,1310720,5242880,4096,512,4,B,1,2,1,1,0,1,true,0,0,0.0019908999999999999,16777216,8426950625.3453217,6311.69873046875
scalar_q4,avx2,avx2,true,true,1280,1310720,1310720,4096,512,4,C,1,2,1,1,0,1,true,0,67108864,0.011656400000000001,16777216,1439313681.7542293,7287.4404296875
scalar_q4,avx2,avx2,true,true,1280,1310720,1310720,4096,512,8,A,1,2,1,1,0,1,true,0,0,0.0040317,33554432,8322650990.8971405,14574.83984375
scalar_q4,avx2,avx2,true,true,1280,1310720,10485760,4096,512,8,B,1,2,1,1,0,1,true,0,0,0.0040473000000000002,33554432,8290571986.2624464,13369.3076171875
scalar_q4,avx2,avx2,true,true,1280,1310720,1310720,4096,512,8,C,1,2,1,1,0,1,true,0,67108864,0.027191699999999999,33554432,1233995373.588264,14574.83984375
scalar_q4,avx2,avx2,true,true,1280,1310720,1310720,4096,512,16,A,1,2,1,1,0,1,true,0,0,0.0079544999999999998,67108864,8436591111.9492111,29149.37890625
scalar_q4,avx2,avx2,true,true,1280,1310720,20971520,4096,512,16,B,1,2,1,1,0,1,true,0,0,0.0083937999999999999,67108864,7995051585.6942034,25772.818359375
scalar_q4,avx2,avx2,true,true,1280,1310720,1310720,4096,512,16,C,1,2,1,1,0,1,true,0,67108864,0.057480299999999998,67108864,1167510677.5712724,29149.37890625
scalar_q4,avx2,avx2,true,true,512,524160,524160,1638,512,1,A,1,2,1,2,0,2,true,0,0,0.00029119999999999998,1677312,5760000000,992.19049072265625
scalar_q4,avx2,avx2,true,true,512,524160,524160,1638,512,1,B,1,2,1,2,0,2,true,0,0,0.00042939999999999997,1677312,3906176059.618072,992.19049072265625
scalar_q4,avx2,avx2,true,true,512,524160,524160,1638,512,1,C,1,2,1,2,0,2,true,0,67108864,0.00026679999999999998,1677312,6286776611.6941538,992.19049072265625
