"run","order_index","metric","native_mode","D","S","R","rows_per_worker","mode","kernel","elapsed_seconds","mac_total","mac_per_second","final_checksum","per_round_checksums","per_round_finite","per_round_overflow","per_round_clipped_cells","per_round_clipping_rates","clipped_cells","clipping_rate","all_rounds_valid","worker_count","cpus","affinity","affinity_errors","affinity_succeeded","timed_repetitions","warmup","timed_repetitions_exact"
"4","2","F(S)","repeat","512","1","4","128,128,128,128","repeat","avx2_repeat","0.0018241","8388608","4598765418.56258","13977311238581039400","5156533420041995800;13175200098663782325;4549353948644942164;13977311238581039400","true;true;true;true","false;false;false;false","0;0;0;0","0;0;0;0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"5","1","F(S)","repeat","512","1","4","128,128,128,128","repeat","avx2_repeat","0.0018976","8388608","4420640809.44351","13977311238581039400","5156533420041995800;13175200098663782325;4549353948644942164;13977311238581039400","true;true;true;true","false;false;false;false","0;0;0;0","0;0;0;0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"5","2","G(S)","fused","512","1","4","128,128,128,128","fused","avx2_fused","0.002018","8388608","4156891972.24975","13977311238581039400","5156533420041995800;13175200098663782325;4549353948644942164;13977311238581039400","true;true;true;true","false;false;false;false","0;0;0;0","0;0;0;0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"6","1","G(S)","fused","512","1","4","128,128,128,128","fused","avx2_fused","0.0008949","8388608","9373793719.96871","13977311238581039400","5156533420041995800;13175200098663782325;4549353948644942164;13977311238581039400","true;true;true;true","false;false;false;false","0;0;0;0","0;0;0;0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"6","2","F(S)","repeat","512","1","4","128,128,128,128","repeat","avx2_repeat","0.0009183","8388608","9134931939.45334","13977311238581039400","5156533420041995800;13175200098663782325;4549353948644942164;13977311238581039400","true;true;true;true","false;false;false;false","0;0;0;0","0;0;0;0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"7","1","F(S)","repeat","512","1","4","128,128,128,128","repeat","avx2_repeat","0.0016312","8388608","5142599313.38892","13977311238581039400","5156533420041995800;13175200098663782325;4549353948644942164;13977311238581039400","true;true;true;true","false;false;false;false","0;0;0;0","0;0;0;0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"7","2","G(S)","fused","512","1","4","128,128,128,128","fused","avx2_fused","0.002015","8388608","4163080893.30025","13977311238581039400","5156533420041995800;13175200098663782325;4549353948644942164;13977311238581039400","true;true;true;true","false;false;false;false","0;0;0;0","0;0;0;0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"8","1","G(S)","fused","512","1","4","128,128,128,128","fused","avx2_fused","0.0017063","8388608","4916256226.92375","13977311238581039400","5156533420041995800;13175200098663782325;4549353948644942164;13977311238581039400","true;true;true;true","false;false;false;false","0;0;0;0","0;0;0;0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"8","2","F(S)","repeat","512","1","4","128,128,128,128","repeat","avx2_repeat","0.000812","8388608","10330798029.5567","13977311238581039400","5156533420041995800;13175200098663782325;4549353948644942164;13977311238581039400","true;true;true;true","false;false;false;false","0;0;0;0","0;0;0;0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"9","1","F(S)","repeat","512","1","4","128,128,128,128","repeat","avx2_repeat","0.0008342","8388608","10055871493.6466","13977311238581039400","5156533420041995800;13175200098663782325;4549353948644942164;13977311238581039400","true;true;true;true","false;false;false;false","0;0;0;0","0;0;0;0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"9","2","G(S)","fused","512","1","4","128,128,128,128","fused","avx2_fused","0.0017982","8388608","4665002780.55834","13977311238581039400","5156533420041995800;13175200098663782325;4549353948644942164;13977311238581039400","true;true;true;true","false;false;false;false","0;0;0;0","0;0;0;0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"10","1","G(S)","fused","512","1","4","128,128,128,128","fused","avx2_fused","0.0010785","8388608","7778032452.4803","13977311238581039400","5156533420041995800;13175200098663782325;4549353948644942164;13977311238581039400","true;true;true;true","false;false;false;false","0;0;0;0","0;0;0;0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"10","2","F(S)","repeat","512","1","4","128,128,128,128","repeat","avx2_repeat","0.0013691","8388608","6127096632.82448","13977311238581039400","5156533420041995800;13175200098663782325;4549353948644942164;13977311238581039400","true;true;true;true","false;false;false;false","0;0;0;0","0;0;0;0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"1","1","F(S)","repeat","512","1","8","128,128,128,128","repeat","avx2_repeat","0.0044137","16777216","3801168180.89132","6479385130747434895","5156533420041995800;13175200098663782325;4549353948644942164;13977311238581039400;8060378311007652497;8231470391171241854;6353379237560784982;6479385130747434895","true;true;true;true;true;true;true;true","false;false;false;false;false;false;false;false","0;0;0;0;0;0;0;1","0;0;0;0;0;0;0;0.001953125","8","0.000244140625","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"1","2","G(S)","fused","512","1","8","128,128,128,128","fused","avx2_fused","0.0046043","16777216","3643814694.95906","6479385130747434895","5156533420041995800;13175200098663782325;4549353948644942164;13977311238581039400;8060378311007652497;8231470391171241854;6353379237560784982;6479385130747434895","true;true;true;true;true;true;true;true","false;false;false;false;false;false;false;false","0;0;0;0;0;0;0;1","0;0;0;0;0;0;0;0.001953125","8","0.000244140625","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"2","1","G(S)","fused","512","1","8","128,128,128,128","fused","avx2_fused","0.0055355","16777216","3030840213.16954","6479385130747434895","5156533420041995800;13175200098663782325;4549353948644942164;13977311238581039400;8060378311007652497;8231470391171241854;6353379237560784982;6479385130747434895","true;true;true;true;true;true;true;true","false;false;false;false;false;false;false;false","0;0;0;0;0;0;0;1","0;0;0;0;0;0;0;0.001953125","8","0.000244140625","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"2","2","F(S)","repeat","512","1","8","128,128,128,128","repeat","avx2_repeat","0.004829","16777216","3474262994.40878","6479385130747434895","5156533420041995800;13175200098663782325;4549353948644942164;13977311238581039400;8060378311007652497;8231470391171241854;6353379237560784982;6479385130747434895","true;true;true;true;true;true;true;true","false;false;false;false;false;false;false;false","0;0;0;0;0;0;0;1","0;0;0;0;0;0;0;0.001953125","8","0.000244140625","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"3","1","F(S)","repeat","512","1","8","128,128,128,128","repeat","avx2_repeat","0.0032166","16777216","5215822918.60971","6479385130747434895","5156533420041995800;13175200098663782325;4549353948644942164;13977311238581039400;8060378311007652497;8231470391171241854;6353379237560784982;6479385130747434895","true;true;true;true;true;true;true;true","false;false;false;false;false;false;false;false","0;0;0;0;0;0;0;1","0;0;0;0;0;0;0;0.001953125","8","0.000244140625","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"3","2","G(S)","fused","512","1","8","128,128,128,128","fused","avx2_fused","0.0051951","16777216","3229430809.80154","6479385130747434895","5156533420041995800;13175200098663782325;4549353948644942164;13977311238581039400;8060378311007652497;8231470391171241854;6353379237560784982;6479385130747434895","true;true;true;true;true;true;true;true","false;false;false;false;false;false;false;false","0;0;0;0;0;0;0;1","0;0;0;0;0;0;0;0.001953125","8","0.000244140625","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"4","1","G(S)","fused","512","1","8","128,128,128,128","fused","avx2_fused","0.0037331","16777216","4494178028.98395","6479385130747434895","5156533420041995800;13175200098663782325;4549353948644942164;13977311238581039400;8060378311007652497;8231470391171241854;6353379237560784982;6479385130747434895","true;true;true;true;true;true;true;true","false;false;false;false;false;false;false;false","0;0;0;0;0;0;0;1","0;0;0;0;0;0;0;0.001953125","8","0.000244140625","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"4","2","F(S)","repeat","512","1","8","128,128,128,128","repeat","avx2_repeat","0.0031672","16777216","5297176054.55923","6479385130747434895","5156533420041995800;13175200098663782325;4549353948644942164;13977311238581039400;8060378311007652497;8231470391171241854;6353379237560784982;6479385130747434895","true;true;true;true;true;true;true;true","false;false;false;false;false;false;false;false","0;0;0;0;0;0;0;1","0;0;0;0;0;0;0;0.001953125","8","0.000244140625","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"5","1","F(S)","repeat","512","1","8","128,128,128,128","repeat","avx2_repeat","0.0046583","16777216","3601574823.43344","6479385130747434895","5156533420041995800;13175200098663782325;4549353948644942164;13977311238581039400;8060378311007652497;8231470391171241854;6353379237560784982;6479385130747434895","true;true;true;true;true;true;true;true","false;false;false;false;false;false;false;false","0;0;0;0;0;0;0;1","0;0;0;0;0;0;0;0.001953125","8","0.000244140625","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
