"run","order_index","D","S","R","component","mode","elapsed_seconds","elapsed_per_timed_step","qpc_ticks_per_timed_step","tsc_cycles_per_timed_step","tsc_supported","mac_total","mac_per_second","checksum_kind","validation_invariant","final_checksum","per_round_checksums","per_round_finite","per_round_overflow","all_rounds_valid","worker_count","cpus","affinity","affinity_errors","affinity_succeeded","timed_repetitions","warmup","timed_repetitions_exact"
"2","1","512","8","1","full","fused","0.0082783","0.0010347875","10347.875","2065687.5","true","16777216","2026649916.04556","state","state checksum; actual GEMV followed by apply_transition","3842179408685066247","3842179408685066247","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"2","2","512","8","1","gemv-only","fused","0.0020358","0.000254475","2544.75","507977.5","true","16777216","8241092445.23038","output","output checksum; GEMV output is deterministic and state remains frozen","10291565644549863803","10291565644549863803","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"2","3","512","8","1","transition-only","fused","0.0004386","5.4825E-05","548.25","109479.875","true","0","0","state","state checksum; apply_transition uses deterministic synthetic output","14302777025956857287","14302777025956857287","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"3","1","512","8","1","transition-only","fused","0.0005397","6.74625E-05","674.625","134642.375","true","0","0","state","state checksum; apply_transition uses deterministic synthetic output","14302777025956857287","14302777025956857287","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"3","2","512","8","1","gemv-only","fused","0.0016312","0.0002039","2039","407080.125","true","16777216","10285198626.7778","output","output checksum; GEMV output is deterministic and state remains frozen","10291565644549863803","10291565644549863803","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"3","3","512","8","1","full","fused","0.0023614","0.000295175","2951.75","589277.625","true","16777216","7104775133.39544","state","state checksum; actual GEMV followed by apply_transition","3842179408685066247","3842179408685066247","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"4","1","512","8","1","full","fused","0.0019738","0.000246725","2467.25","492527.75","true","16777216","8499957442.49671","state","state checksum; actual GEMV followed by apply_transition","3842179408685066247","3842179408685066247","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"4","2","512","8","1","gemv-only","fused","0.0022649","0.0002831125","2831.125","565199.875","true","16777216","7407486423.24164","output","output checksum; GEMV output is deterministic and state remains frozen","10291565644549863803","10291565644549863803","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"4","3","512","8","1","transition-only","fused","0.000226","2.825E-05","282.5","56400.375","true","0","0","state","state checksum; apply_transition uses deterministic synthetic output","14302777025956857287","14302777025956857287","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"5","1","512","8","1","transition-only","fused","0.0002503","3.12875E-05","312.875","62420","true","0","0","state","state checksum; apply_transition uses deterministic synthetic output","14302777025956857287","14302777025956857287","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
