probe,target_kib,actual_weight_bytes_per_block,allocated_weight_bytes,m,K,depth,variant,iterations,repetitions,warmup,logical_cpu_index,processor_group,group_processor_index,affinity_succeeded,affinity_error,eviction_bytes,elapsed_seconds,mac_count,mac_per_second,checksum
scalar_q4,1024,1048320,2096640,3276,512,2,B,1,2,1,0,0,0,true,0,0,0.036021400000000002,6709248,186257280.39443219,2627.178955078125
scalar_q4,1024,1048320,1048320,3276,512,2,C,1,2,1,0,0,0,true,0,67108864,0.036293199999999998,6709248,184862398.46582833,2543.33544921875
scalar_q4,1024,1048320,1048320,3276,512,4,A,1,2,1,0,0,0,true,0,0,0.064072799999999999,13418496,209425778.17732331,5086.66650390625
scalar_q4,1024,1048320,4193280,3276,512,4,B,1,2,1,0,0,0,true,0,0,0.071761500000000006,13418496,186987395.7484166,4776.06005859375
scalar_q4,1024,1048320,1048320,3276,512,4,C,1,2,1,0,0,0,true,0,67108864,0.0864674,13418496,155185607.52376041,5086.66650390625
scalar_q4,1024,1048320,1048320,3276,512,8,A,1,2,1,0,0,0,true,0,0,0.14480999999999999,26836992,185325543.81603482,10173.341796875
scalar_q4,1024,1048320,8386560,3276,512,8,B,1,2,1,0,0,0,true,0,0,0.1371184,26836992,195721303.63248113,10697.712890625
scalar_q4,1024,1048320,1048320,3276,512,8,C,1,2,1,0,0,0,true,0,67108864,0.15662029999999999,26836992,171350661.44043908,10173.341796875
scalar_q4,1024,1048320,1048320,3276,512,16,A,1,2,1,0,0,0,true,0,0,0.2661094,53673984,201698940.36061859,20346.6015625
scalar_q4,1024,1048320,16773120,3276,512,16,B,1,2,1,0,0,0,true,0,0,0.25952320000000001,53673984,206817671.7919631,20986.685546875
scalar_q4,1024,1048320,1048320,3276,512,16,C,1,2,1,0,0,0,true,0,67108864,0.31593949999999998,53673984,169886905.56261563,20346.6015625
scalar_q4,1280,1310720,1310720,4096,512,1,A,1,2,1,0,0,0,true,0,0,0.0196799,4194304,213126286.21080393,1821.859375
scalar_q4,1280,1310720,1310720,4096,512,1,B,1,2,1,0,0,0,true,0,0,0.020190400000000001,4194304,207737538.63222125,1821.859375
scalar_q4,1280,1310720,1310720,4096,512,1,C,1,2,1,0,0,0,true,0,67108864,0.0202484,4194304,207142490.2708362,1821.859375
scalar_q4,1280,1310720,1310720,4096,512,2,A,1,2,1,0,0,0,true,0,0,0.040191999999999999,8388608,208713375.79617834,3643.71337890625
scalar_q4,1280,1310720,2621440,4096,512,2,B,1,2,1,0,0,0,true,0,0,0.043130700000000001,8388608,194492739.51037195,3653.72900390625
scalar_q4,1280,1310720,1310720,4096,512,2,C,1,2,1,0,0,0,true,0,67108864,0.046883000000000001,8388608,178926433.88861635,3643.713623046875
scalar_q4,1280,1310720,1310720,4096,512,4,A,1,2,1,0,0,0,true,0,0,0.088522799999999999,16777216,189524235.56417105,7287.4404296875
scalar_q4,1280,1310720,5242880,4096,512,4,B,1,2,1,0,0,0,true,0,0,0.080658800000000003,16777216,208002301.05084628,6311.69873046875
scalar_q4,1280,1310720,1310720,4096,512,4,C,1,2,1,0,0,0,true,0,67108864,0.091661000000000006,16777216,183035489.46662155,7287.4404296875
scalar_q4,1280,1310720,1310720,4096,512,8,A,1,2,1,0,0,0,true,0,0,0.16689109999999999,33554432,201055850.19213128,14574.83984375
scalar_q4,1280,1310720,10485760,4096,512,8,B,1,2,1,0,0,0,true,0,0,0.16356979999999999,33554432,205138307.92725798,13369.3076171875
scalar_q4,1280,1310720,1310720,4096,512,8,C,1,2,1,0,0,0,true,0,67108864,0.19831560000000001,33554432,169197138.29875207,14574.83984375
scalar_q4,1280,1310720,1310720,4096,512,16,A,1,2,1,0,0,0,true,0,0,0.3298799,67108864,203434231.67037457,29149.37890625
scalar_q4,1280,1310720,20971520,4096,512,16,B,1,2,1,0,0,0,true,0,0,0.33317550000000001,67108864,201421965.3005698,25772.818359375
scalar_q4,1280,1310720,1310720,4096,512,16,C,1,2,1,0,0,0,true,0,67108864,0.41126740000000001,67108864,163175744.05362543,29149.37890625
scalar_q4,256,262080,262080,819,512,1,A,1,2,1,1,0,1,true,0,0,0.0038333,838656,218781728.5367699,507.36077880859375
scalar_q4,256,262080,262080,819,512,1,B,1,2,1,1,0,1,true,0,0,0.0043968000000000002,838656,190742358.07860261,507.36077880859375
scalar_q4,256,262080,262080,819,512,1,C,1,2,1,1,0,1,true,0,67108864,0.0038671999999999999,838656,216863880.84402153,507.36077880859375
scalar_q4,256,262080,262080,819,512,2,A,1,2,1,1,0,1,true,0,0,0.0077764000000000002,1677312,215692608.40491745,1014.7217407226562
scalar_q4,256,262080,524160,819,512,2,B,1,2,1,1,0,1,true,0,0,0.0078168999999999999,1677312,214575087.31082654,860.4334716796875
scalar_q4,256,262080,262080,819,512,2,C,1,2,1,1,0,1,true,0,67108864,0.0112444,1677312,149168652.84052506,1014.7220458984375
scalar_q4,256,262080,262080,819,512,4,A,1,2,1,1,0,1,true,0,0,0.016261399999999999,3354624,206293677.05117643,2029.4434814453125
scalar_q4,256,262080,1048320,819,512,4,B,1,2,1,1,0,1,true,0,0,0.015864199999999998,3354624,211458756.19318971,1557.123291015625
scalar_q4,256,262080,262080,819,512,4,C,1,2,1,1,0,1,true,0,67108864,0.030423800000000001,3354624,110263149.24499898,2029.443603515625
scalar_q4,256,262080,262080,819,512,8,A,1,2,1,1,0,1,true,0,0,0.033092900000000001,6709248,202739802.19321969,4058.888671875
scalar_q4,256,262080,2096640,819,512,8,B,1,2,1,1,0,1,true,0,0,0.031602699999999997,6709248,212299835.14066839,2863.470458984375
scalar_q4,256,262080,262080,819,512,8,C,1,2,1,1,0,1,true,0,67108864,0.059320900000000003,6709248,113100913.84318174,4058.88916015625
scalar_q4,256,262080,262080,819,512,16,A,1,2,1,1,0,1,true,0,0,0.069267099999999998,13418496,193721059.49289057,8117.76318359375
scalar_q4,256,262080,4193280,819,512,16,B,1,2,1,1,0,1,true,0,0,0.067705399999999999,13418496,198189450.17679536,5270.2470703125
scalar_q4,256,262080,262080,819,512,16,C,1,2,1,1,0,1,true,0,67108864,0.12968740000000001,13418496,103468000.74641021,8117.763671875
scalar_q4,384,392960,392960,1228,512,1,A,1,2,1,1,0,1,true,0,0,0.0057676999999999997,1257472,218019661.21677619,774.013916015625
scalar_q4,384,392960,392960,1228,512,1,B,1,2,1,1,0,1,true,0,0,0.0057545000000000001,1257472,218519767.13876095,774.013916015625
scalar_q4,384,392960,392960,1228,512,1,C,1,2,1,1,0,1,true,0,67108864,0.0058948999999999998,1257472,213315238.59607458,774.013916015625
scalar_q4,384,392960,392960,1228,512,2,A,1,2,1,1,0,1,true,0,0,0.0125106,2514944,201025050.7569581,1548.027099609375
scalar_q4,384,392960,785920,1228,512,2,B,1,2,1,1,0,1,true,0,0,0.011838400000000001,2514944,212439518.85389915,1208.54931640625
scalar_q4,384,392960,392960,1228,512,2,C,1,2,1,1,0,1,true,0,67108864,0.015772600000000001,2514944,159450185.76518771,1548.02734375
scalar_q4,384,392960,392960,1228,512,4,A,1,2,1,1,0,1,true,0,0,0.024333500000000001,5029888,206706310.23075184,3096.044189453125
scalar_q4,384,392960,1571840,1228,512,4,B,1,2,1,1,0,1,true,0,0,0.0248157,5029888,202689748.8283627,2313.489013671875
scalar_q4,384,392960,392960,1228,512,4,C,1,2,1,1,0,1,true,0,67108864,0.037672900000000002,5029888,133514754.63794929,3096.044189453125
scalar_q4,384,392960,392960,1228,512,8,A,1,2,1,1,0,1,true,0,0,0.052677599999999998,10059776,190968760.91545552,6192.09130859375
scalar_q4,384,392960,3143680,1228,512,8,B,1,2,1,1,0,1,true,0,0,0.053679499999999998,10059776,187404428.13364506,4248.7490234375
scalar_q4,384,392960,392960,1228,512,8,C,1,2,1,1,0,1,true,0,67108864,0.076947600000000005,10059776,130735409.55143499,6192.091796875
scalar_q4,384,392960,392960,1228,512,16,A,1,2,1,1,0,1,true,0,0,0.10059129999999999,20119552,200012844.05311394,12384.248046875
scalar_q4,384,392960,6287360,1228,512,16,B,1,2,1,1,0,1,true,0,0,0.095353400000000005,20119552,210999838.49553344,8054.60595703125
scalar_q4,384,392960,392960,1228,512,16,C,1,2,1,1,0,1,true,0,67108864,0.1632884,20119552,123214827.26268369,12384.248046875
scalar_q4,512,524160,524160,1638,512,1,A,1,2,1,1,0,1,true,0,0,0.0079468000000000004,1677312,211067599.53692052,992.19049072265625
scalar_q4,512,524160,524160,1638,512,1,B,1,2,1,1,0,1,true,0,0,0.0102255,1677312,164032272.26052517,992.19049072265625
scalar_q4,512,524160,524160,1638,512,1,C,1,2,1,1,0,1,true,0,67108864,0.0098201999999999994,1677312,170802223.98729151,992.19049072265625
scalar_q4,512,524160,524160,1638,512,2,A,1,2,1,1,0,1,true,0,0,0.015750299999999998,3354624,212987943.08679837,1984.3802490234375
scalar_q4,512,524160,1048320,1638,512,2,B,1,2,1,1,0,1,true,0,0,0.015765399999999999,3354624,212783944.58751446,1352.0919189453125
