project_version,gate,D,S,R,total_rows,kernel,variant,transition,timing_scope,slot_tile,seed,phase_profile,require_affinity,projection_shift,state_multiplier,output_multiplier,final_shift,target_rms,epsilon,warmup_repetitions,timed_repetitions,sequences_per_repetition,worker_count,allow_smt_siblings,cpus,physical_cores,rows,base_weight_bytes,allocated_weight_bytes,logical_weight_load_bytes,one_pass_weight_bytes,distinct_weight_storage_bytes,elapsed_seconds,mac_total,mac_per_second,logical_weight_load_gb_per_second,one_pass_weight_gb_per_second,output_checksum,state_checksum,round_sink,weight_hash_signature,clone_hashes_equal,clone_addresses_distinct,all_affinity_succeeded,clipped_cells,transition_cells,worker_compute_seconds,worker_transition_seconds,worker_sync_seconds,worker_cold_seconds,worker_affinity_errors,valid,error,batch_repeat,variant_order
0.4.1,t0rm,1472,16,8,1472,avx2-fused,clone,global-rms,full-repetition,4,3221342974,false,true,12,1,1,0,32,9.9999999999999995e-07,2,4,1,4,false,"0;2;4;6","0;1;2;3","449;318;353;352",2166784,17334272,277348352,69337088,17334272,0.0062681000000000004,1109393408,176990381136.22946,44.247595284057368,11.061898821014342,4551739745890589895,16187460718299757442,5608768040300185633,11255046554403909569,true,true,true,32,753664,"0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0",true,"",2,1
0.4.1,t0rm,1472,16,8,1472,avx2-fused,shared,global-rms,full-repetition,4,3221342974,false,true,12,1,1,0,32,9.9999999999999995e-07,2,4,1,4,false,"0;2;4;6","0;1;2;3","449;318;353;352",2166784,2166784,277348352,69337088,2166784,0.010622599999999999,1109393408,104437087718.63763,26.109271929659407,6.5273179824148517,4551739745890589895,16187460718299757442,5608768040300185633,11255046554403909569,false,false,true,32,753664,"0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0",true,"",2,2
0.4.1,t0rm,1472,16,8,1472,avx2-fused,clone,group-rms,full-repetition,4,3221342974,false,true,12,1,1,0,32,9.9999999999999995e-07,2,4,1,4,false,"0;2;4;6","0;1;2;3","449;318;353;352",2166784,17334272,277348352,69337088,17334272,0.0069782999999999998,1109393408,158977603141.1662,39.744400785291546,9.9361001963228865,3795883114532833034,953266389936549877,17068663397166442437,11255046554403909569,true,true,true,32,753664,"0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0",true,"",2,3
0.4.1,t0rm,1472,16,8,1472,avx2-fused,shared,group-rms,full-repetition,4,3221342974,false,true,12,1,1,0,32,9.9999999999999995e-07,2,4,1,4,false,"0;2;4;6","0;1;2;3","449;318;353;352",2166784,2166784,277348352,69337088,2166784,0.0055395000000000002,1109393408,200269592562.50565,50.067398140626409,12.516849535156602,3795883114532833034,953266389936549877,17068663397166442437,11255046554403909569,false,false,true,32,753664,"0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0",true,"",2,4
0.4.1,t0rm,1472,16,8,1472,avx2-fused,clone,fixed-point,full-repetition,4,3221342974,false,true,14,1,1,0,32,9.9999999999999995e-07,2,4,1,4,false,"0;2;4;6","0;1;2;3","449;318;353;352",2166784,17334272,277348352,69337088,17334272,0.0064476999999999998,1109393408,172060332831.86252,43.015083207965631,10.753770801991408,2744236483065453218,12426728992559062094,16644558779145830308,11255046554403909569,true,true,true,12,753664,"0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0",true,"",2,5
0.4.1,t0rm,1472,16,8,1472,avx2-fused,shared,fixed-point,full-repetition,4,3221342974,false,true,14,1,1,0,32,9.9999999999999995e-07,2,4,1,4,false,"0;2;4;6","0;1;2;3","449;318;353;352",2166784,2166784,277348352,69337088,2166784,0.0058456999999999997,1109393408,189779394768.80444,47.444848692201113,11.861212173050278,2744236483065453218,12426728992559062094,16644558779145830308,11255046554403909569,false,false,true,12,753664,"0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0",true,"",2,6
0.4.1,t0m,1472,16,8,1472,avx2-fused,clone,frozen,full-repetition,4,3221342974,false,true,12,1,1,0,32,9.9999999999999995e-07,2,4,1,4,false,"0;2;4;6","0;1;2;3","449;318;353;352",2166784,17334272,277348352,69337088,17334272,0.0062843999999999999,1109393408,176531316911.7179,44.132829227929477,11.033207306982369,3440678550481229109,151263660427993466,13801644200311732869,11255046554403909569,true,true,true,0,0,"0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0",true,"",2,7
0.4.1,t0m,1472,16,8,1472,avx2-repeat,clone,frozen,full-repetition,4,3221342974,false,true,12,1,1,0,32,9.9999999999999995e-07,2,4,1,4,false,"0;2;4;6","0;1;2;3","449;318;353;352",2166784,17334272,1109393408,69337088,17334272,0.0137818,1109393408,80496989362.782791,80.496989362782784,5.031061835173924,3440678550481229109,151263660427993466,13801644200311732869,11255046554403909569,true,true,true,0,0,"0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0",true,"",2,8
0.4.1,t0m,1472,16,8,1472,avx2-fused,shared,frozen,full-repetition,4,3221342974,false,true,12,1,1,0,32,9.9999999999999995e-07,2,4,1,4,false,"0;2;4;6","0;1;2;3","449;318;353;352",2166784,2166784,277348352,69337088,2166784,0.0058214,1109393408,190571582093.65445,47.642895523413614,11.910723880853404,3440678550481229109,151263660427993466,13801644200311732869,11255046554403909569,false,false,true,0,0,"0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0",true,"",2,9
0.4.1,t0m,1472,16,8,1472,avx2-repeat,shared,frozen,full-repetition,4,3221342974,false,true,12,1,1,0,32,9.9999999999999995e-07,2,4,1,4,false,"0;2;4;6","0;1;2;3","449;318;353;352",2166784,2166784,1109393408,69337088,2166784,0.011637399999999999,1109393408,95330005671.369904,95.330005671369904,5.958125354460619,3440678550481229109,151263660427993466,13801644200311732869,11255046554403909569,false,false,true,0,0,"0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0",true,"",2,10
