"run","order_index","metric","native_mode","D","S","R","rows_per_worker","mode","kernel","elapsed_seconds","mac_total","mac_per_second","final_checksum","per_round_checksums","per_round_finite","per_round_overflow","per_round_clipped_cells","per_round_clipping_rates","clipped_cells","clipping_rate","all_rounds_valid","worker_count","cpus","affinity","affinity_errors","affinity_succeeded","timed_repetitions","warmup","timed_repetitions_exact"
"5","1","F(S)","repeat","512","1","4","128,128,128,128","repeat","avx2_repeat","0.0019505","8388608","4300747500.64086","13977311238581039400","5156533420041995800;13175200098663782325;4549353948644942164;13977311238581039400","true;true;true;true","false;false;false;false","0;0;0;0","0;0;0;0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"5","2","G(S)","fused","512","1","4","128,128,128,128","fused","avx2_fused","0.0008746","8388608","9591365195.51795","13977311238581039400","5156533420041995800;13175200098663782325;4549353948644942164;13977311238581039400","true;true;true;true","false;false;false;false","0;0;0;0","0;0;0;0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"6","1","G(S)","fused","512","1","4","128,128,128,128","fused","avx2_fused","0.0008513","8388608","9853879948.31434","13977311238581039400","5156533420041995800;13175200098663782325;4549353948644942164;13977311238581039400","true;true;true;true","false;false;false;false","0;0;0;0","0;0;0;0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"6","2","F(S)","repeat","512","1","4","128,128,128,128","repeat","avx2_repeat","0.0021341","8388608","3930747387.65756","13977311238581039400","5156533420041995800;13175200098663782325;4549353948644942164;13977311238581039400","true;true;true;true","false;false;false;false","0;0;0;0","0;0;0;0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"7","1","F(S)","repeat","512","1","4","128,128,128,128","repeat","avx2_repeat","0.0012857","8388608","6524545383.8376","13977311238581039400","5156533420041995800;13175200098663782325;4549353948644942164;13977311238581039400","true;true;true;true","false;false;false;false","0;0;0;0","0;0;0;0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"7","2","G(S)","fused","512","1","4","128,128,128,128","fused","avx2_fused","0.0012198","8388608","6877035579.60321","13977311238581039400","5156533420041995800;13175200098663782325;4549353948644942164;13977311238581039400","true;true;true;true","false;false;false;false","0;0;0;0","0;0;0;0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"8","1","G(S)","fused","512","1","4","128,128,128,128","fused","avx2_fused","0.0020908","8388608","4012152286.20624","13977311238581039400","5156533420041995800;13175200098663782325;4549353948644942164;13977311238581039400","true;true;true;true","false;false;false;false","0;0;0;0","0;0;0;0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"8","2","F(S)","repeat","512","1","4","128,128,128,128","repeat","avx2_repeat","0.0019294","8388608","4347780657.19913","13977311238581039400","5156533420041995800;13175200098663782325;4549353948644942164;13977311238581039400","true;true;true;true","false;false;false;false","0;0;0;0","0;0;0;0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"9","1","F(S)","repeat","512","1","4","128,128,128,128","repeat","avx2_repeat","0.0020095","8388608","4174475242.59766","13977311238581039400","5156533420041995800;13175200098663782325;4549353948644942164;13977311238581039400","true;true;true;true","false;false;false;false","0;0;0;0","0;0;0;0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"9","2","G(S)","fused","512","1","4","128,128,128,128","fused","avx2_fused","0.0015687","8388608","5347490278.57462","13977311238581039400","5156533420041995800;13175200098663782325;4549353948644942164;13977311238581039400","true;true;true;true","false;false;false;false","0;0;0;0","0;0;0;0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
